commune,commune_node
2A001,5795014130
2A004,5196875570
2A006,1248478336
2A008,6421216202
2A011,4966564154
2A014,2992020523
2A017,7727226387
2A018,938561065
2A019,1242569755
2A021,7737506096
2A022,1247756895
2A024,6423911897
2A026,1041125387
2A027,300434575
2A028,4275725606
2A031,3577234403
2A032,3353306374
2A035,5337978695
2A038,2504344523
2A040,4421067851
2A041,386850990
2A048,2997721137
2A056,8378679142
2A060,5871464730
2A061,3528003078
2A062,406573871
2A064,5871522486
2A065,6583648402
2A066,6426306657
2A070,2254478682
2A071,5877326412
2A085,7737504707
2A089,2695614845
2A090,3724463317
2A091,498734746
2A092,274064519
2A094,4412249179
2A098,8952291660
2A099,4413928009
2A100,339614748
2A103,500881739
2A104,7737504113
2A108,1240367589
2A114,3778122658
2A115,4340129974
2A117,5521824632
2A118,5905554510
2A119,8378679436
2A127,7729319873
2A128,5910787144
2A129,9484672376
2A130,1900438245
2A131,1244920538
2A132,858317623
2A133,5912984151
2A139,2337208715
2A141,3816929668
2A142,9403783747
2A144,1244921324
2A146,9176816157
2A154,283721523
2A158,5915088988
2A160,299333338
2A163,1779695508
2A174,1244920665
2A181,1840983892
2A186,1377035718
2A189,334214305
2A191,5935951050
2A196,1244921856
2A197,1602615251
2A198,1042263134
2A200,5947522383
2A203,2779845821
2A204,5960594663
2A209,413422868
2A211,7734133128
2A212,3497466782
2A215,61152732
2A228,2788692416
2A232,498735074
2A240,1241368385
2A247,365385543
2A249,334248442
2A253,5977227380
2A254,1434216581
2A258,826489301
2A259,1246208964
2A262,826534279
2A266,5843814360
2A268,82577076
2A269,15904608
2A270,1041217623
2A271,8296202841
2A272,257083611
2A276,3053060386
2A278,9421652070
2A279,1022554742
2A282,1240364732
2A284,5100643718
2A285,6148943002
2A288,1973175171
2A295,3579305508
2A300,8948755496
2A308,9448493404
2A310,528341641
2A312,257429607
2A322,2151918206
2A323,5063471585
2A324,401946789
2A326,559614604
2A330,295951871
2A331,340183063
2A336,3583787481
2A345,9482934045
2A348,256026755
2A349,1038333457
2A351,7681289396
2A357,660330488
2A358,4410356113
2A359,858320060
2A360,50487506
2A362,1438712044
2A363,6426306504
2B002,344402757
2B003,9115469570
2B005,1705753531
2B007,6253750528
2B009,2801435907
2B010,1436549025
2B012,3042929744
2B013,4616574405
2B015,9312802039
2B016,5531292206
2B020,4229034266
2B023,497370104
2B025,8578420365
2B029,82568690
2B030,2629173686
2B033,8109836211
2B034,2218352145
2B036,3676334865
2B037,1797913766
2B039,2616829530
2B042,3040130548
2B043,4431381922
2B045,2315860852
2B046,60359541
2B047,411224242
2B049,3560258109
2B050,5876483778
2B051,8069734063
2B052,1390178533
2B053,4575237590
2B054,2615821360
2B055,3677320562
2B057,2016706314
2B058,3190244734
2B059,82570775
2B063,8116853190
2B067,1390177370
2B068,904531777
2B069,302040540
2B072,5843835924
2B073,1431648339
2B074,1202339199
2B075,9270695708
2B077,3560168967
2B078,6482601816
2B079,1972837567
2B080,3077502667
2B081,218864855
2B082,6281384645
2B083,1437206187
2B084,4229034193
2B086,339228890
2B087,3757676832
2B088,1039002872
2B093,4337113789
2B095,8295908526
2B096,7925510988
2B097,6341245260
2B101,8091802694
2B102,6404266682
2B105,5838576921
2B106,1215491251
2B107,9002543304
2B109,5884246630
2B110,925498310
2B111,6269758052
2B112,82581013
2B113,5291598115
2B116,9311356868
2B120,256070716
2B121,60607289
2B122,1022864526
2B123,60668423
2B124,2996006029
2B125,4577666063
2B126,1829649509
2B134,82581112
2B135,266307076
2B136,288818862
2B137,7560618356
2B138,485739474
2B140,82570471
2B143,906693725
2B145,5635437380
2B147,1239905708
2B148,4575394770
2B149,7740129579
2B150,59740914
2B152,6100874845
2B153,1094445754
2B155,9312802303
2B156,340923250
2B157,9291612251
2B159,1436390312
2B161,5662766688
2B162,5291624228
2B164,4243508788
2B165,486275702
2B166,3282505363
2B167,485947579
2B168,2218518798
2B169,339647009
2B170,3756222224
2B171,8428728627
2B172,3664576858
2B173,340364201
2B175,340418067
2B176,497011447
2B177,9281656501
2B178,64913324
2B179,5829173311
2B180,343105185
2B182,336227670
2B183,1157488788
2B184,905793653
2B185,3706667818
2B187,9005311535
2B188,61900747
2B190,3487320193
2B192,1652716731
2B193,9084661362
2B194,21104389
2B195,2996189523
2B199,2218315253
2B201,344594557
2B202,4241884618
2B205,944507815
2B206,3296800298
2B207,338462238
2B208,338415840
2B210,9143296016
2B213,5246560374
2B214,2485146110
2B216,6485634211
2B217,2234794205
2B218,2975186721
2B219,3114474574
2B220,8488285333
2B221,21103421
2B222,6070320815
2B223,344033367
2B224,3051910133
2B225,338422233
2B226,8303796645
2B227,6486167637
2B229,344902465
2B230,6548447008
2B231,439654254
2B233,3667587067
2B234,1652716624
2B235,341038866
2B236,346675951
2B238,82574657
2B239,4139970046
2B241,6282466933
2B242,1825296928
2B243,1390179183
2B244,82571462
2B245,6327683490
2B246,1041170161
2B248,1390060132
2B250,5291755077
2B251,7449345723
2B252,8092254379
2B255,1022862301
2B256,2482450474
2B257,553329285
2B260,5109337200
2B261,338899943
2B263,3662791432
2B264,7557260654
2B265,2091350392
2B267,9115463990
2B273,1390179792
2B274,7946215016
2B275,6482602222
2B277,5418297152
2B280,9125064432
2B281,5786136084
2B283,9248833519
2B286,4499317827
2B287,9547183817
2B289,1216751871
2B290,9046262719
2B291,1390178124
2B292,938876036
2B293,8116852949
2B296,9081244214
2B297,9177357182
2B298,3675661071
2B299,338531127
2B301,3501651861
2B302,5298587892
2B303,1597907334
2B304,998120242
2B305,8034212180
2B306,6326473613
2B307,6404265191
2B309,338875000
2B311,2359031856
2B313,5826861140
2B314,528285246
2B315,255875969
2B316,748780465
2B317,885625343
2B318,3397563807
2B319,4871448730
2B320,337689728
2B321,21103773
2B327,6269242010
2B328,338421303
2B329,4181564459
2B332,4573151778
2B333,7813555184
2B334,337894891
2B335,1347299107
2B337,1341760453
2B338,8091723502
2B339,4839004587
2B340,2997375180
2B341,6286905402
2B342,7733489295
2B343,8070590231
2B344,1390178642
2B346,2790522820
2B347,8429207387
2B350,15587764
2B352,5604396406
2B353,3055129123
2B354,1253176735
2B355,1868796015
2B356,2695616097
2B361,335639866
2B364,958064795
2B365,9244096798
2B366,3026065805
